"Copy link address to clipboard","Copy link address to clipboard"
"Open link in new tab to get configuration of product to be added to cart","Open link in new tab to get configuration of product to be added to cart"
"Open link in new tab to get configuration of product to be added directly to checkout","Open link in new tab to get configuration of product to be added directly to checkout"
"To Cart","To Cart"
"To Checkout","To Checkout"
"Proceed to Checkout","Proceed to Checkout"
"To get direct add to cart or checkout link to specific configuration of this product select configuration of this product and copy appropriate link below","To get direct add to cart or checkout link to specific configuration of this product select configuration of this product and copy appropriate link below"
"Get Direct Add To Cart Link","Get Direct Add To Cart Link"
"Get Direct Add To Checkout Link","Get Direct Add To Checkout Link"
"Direct Add To Cart And Checkout","Direct Add To Cart And Checkout"
General,General
"Show ""Proceed to Checkout"" button at product view page?","Show ""Proceed to Checkout"" button at product view page?"
"Direct Links","Direct Links"
